route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
5525,1,472308,1 CLEVELAND TO POLARIS PARKWAY AND AFRICA ROAD,1,316506,39121
5525,1,472310,1 CLEVELAND TO NORTHERN LIGHTS,1,316519,39123
5525,1,472315,1 CLEVELAND TO POLARIS PARKWAY AND AFRICA ROAD,1,316509,39122
5525,2201,472260,1 CLEVELAND TO NORTHERN LIGHTS,1,316533,39118
5525,1,472311,1 CLEVELAND TO NORTHERN LIGHTS,1,316527,39123
5525,1,472283,1 CLEVELAND TO POLARIS PARKWAY AND AFRICA ROAD,1,316511,39121
5525,1,472284,1 CLEVELAND TO NORTHERN LIGHTS,1,316507,39123
5525,1,472285,1 CLEVELAND TO POLARIS PARKWAY AND AFRICA ROAD,1,316516,39121
5525,1,472286,1 CLEVELAND TO NORTHERN LIGHTS,1,316505,39123
5525,1,472287,1 CLEVELAND TO POLARIS PARKWAY AND AFRICA ROAD,1,316520,39121
5525,1,472313,1 CLEVELAND TO POLARIS PARKWAY AND AFRICA ROAD,1,316531,39122
5525,1,472270,1 CLEVELAND TO NORTHERN LIGHTS,1,316508,39118
5525,1,472271,1 CLEVELAND TO POLARIS PARKWAY AND AFRICA ROAD,1,316512,39122
5525,1,472281,1 CLEVELAND TO NORTHERN LIGHTS,1,316510,39118
5525,1,472272,1 CLEVELAND TO POLARIS PARKWAY AND AFRICA ROAD,1,316513,39121
5525,1,472273,1 CLEVELAND TO POLARIS PARKWAY AND AFRICA ROAD,1,316524,39122
5525,1,472274,1 CLEVELAND TO POLARIS PARKWAY AND AFRICA ROAD,1,316515,39121
5525,1,472275,1 CLEVELAND TO NORTHERN LIGHTS,1,316503,39118
5525,1,472276,1 CLEVELAND TO POLARIS PARKWAY AND AFRICA ROAD,1,316502,39122
5525,1,472277,1 CLEVELAND TO WESTERVILLE PARK AND RIDE,1,316519,39126
5525,1,472278,1 CLEVELAND TO WESTERVILLE PARK AND RIDE,1,316514,39120
5525,1,472279,1 CLEVELAND TO WESTERVILLE PARK AND RIDE,1,316527,39126
5525,1,472280,1 CLEVELAND TO WESTERVILLE PARK AND RIDE,1,316504,39120
5525,1,472258,1 CLEVELAND TO WESTERVILLE PARK AND RIDE,1,316505,39126
5525,1,472257,1 CLEVELAND TO WESTERVILLE PARK AND RIDE,1,316506,39120
5525,1,472256,1 CLEVELAND TO WESTERVILLE PARK AND RIDE,1,316511,39126
5525,1,472255,1 CLEVELAND TO WESTERVILLE PARK AND RIDE,1,316516,39120
5525,1,472254,1 CLEVELAND TO WESTERVILLE PARK AND RIDE,1,316503,39120
5525,1,472253,1 CLEVELAND TO WESTERVILLE PARK AND RIDE,1,316512,39120
5525,1,472252,1 CLEVELAND TO WESTERVILLE PARK AND RIDE,1,316513,39120
5525,1,472251,1 CLEVELAND TO WESTERVILLE PARK AND RIDE,1,316519,39126
5525,1,472333,1 CLEVELAND TO WESTERVILLE PARK AND RIDE,1,316514,39120
5525,1,472332,1 CLEVELAND TO WESTERVILLE PARK AND RIDE,1,316505,39120
5525,1,472331,1 CLEVELAND TO WESTERVILLE PARK AND RIDE,1,316511,39120
5526,1,472478,2T E MAIN TO BRICE ROAD AND SCARBOROUGH BLVD,0,316552,39137
5526,1,472479,2A E MAIN TO HAMILTON ROAD,0,316553,39150
5526,1,472529,2R E MAIN TO REYNOLDSBURG,0,316560,39146
5526,1,472530,2A E MAIN TO HAMILTON ROAD,0,316579,39141
5526,1,472531,2R E MAIN TO REYNOLDSBURG,0,316556,39146
5526,1,472532,2T E MAIN TO BRICE ROAD AND SCARBOROUGH BLVD,0,316572,39136
5526,1,472493,2A E MAIN TO HAMILTON ROAD,0,316562,39150
5526,1,472533,2T E MAIN TO BRICE ROAD AND SCARBOROUGH BLVD,0,316571,39133
5526,1,472534,2R E MAIN TO REYNOLDSBURG,0,316580,39146
5526,1,472535,2D NORTH HIGH TO DOWNTOWN,0,316581,39134
5526,1,472536,2A E MAIN TO HAMILTON ROAD,0,316582,39150
5526,1,472537,2J E MAIN TO WEYANT AVENUE,0,316583,39143
5526,1,472539,2T E MAIN TO BRICE ROAD AND SCARBOROUGH BLVD,0,316585,39148
5526,1,472540,2D NORTH HIGH TO MOUND AND HIGH,0,316586,39153
5526,1,472538,2F E MAIN TO FOUNTAIN LANE,0,316584,39151
5526,1,472541,2J E MAIN TO WEYANT AVENUE,0,316553,39149
5526,1,472542,2A E MAIN TO HAMILTON ROAD,0,316554,39150
5526,1,472543,2J E MAIN TO WEYANT AVENUE,0,316587,39149
5526,1,472497,2R E MAIN TO REYNOLDSBURG,0,316565,39154
5526,1,472496,2J E MAIN TO WEYANT AVENUE,0,316564,39149
5526,1,472498,2A E MAIN TO HAMILTON ROAD,0,316559,39150
5526,1,472499,2T E MAIN TO BRICE ROAD AND SCARBOROUGH BLVD,0,316558,39133
5526,1,472500,2A E MAIN TO HAMILTON ROAD,0,316566,39142
5526,2301,472591,2D NORTH HIGH TO MOUND AND HIGH,0,316586,39156
5526,1,472501,2D NORTH HIGH TO DOWNTOWN,0,316567,39147
5526,1,472589,2A E MAIN TO HAMILTON ROAD,0,316579,39150
5526,1,472522,2J E MAIN TO WEYANT AVENUE,0,316577,39149
5526,1,472523,2A E MAIN TO HAMILTON ROAD,0,316557,39150
5526,1,472502,2R E MAIN TO REYNOLDSBURG,0,316552,39138
5526,1,472503,2A E MAIN TO HAMILTON ROAD,0,316504,39150
5526,1,472504,2A E MAIN TO HAMILTON ROAD,0,316568,39150
5526,1,472505,2T E MAIN TO BRICE ROAD AND SCARBOROUGH BLVD,0,316562,39148
5526,1,472524,2A E MAIN TO HAMILTON ROAD,0,316560,39142
5526,1,472506,2J E MAIN TO WEYANT AVENUE,0,316556,39149
5526,1,472507,2A E MAIN TO HAMILTON ROAD,0,316569,39150
5526,1,472508,2R E MAIN TO REYNOLDSBURG,0,316570,39138
5526,1,472509,2A E MAIN TO HAMILTON ROAD,0,316555,39150
5526,1,472510,2T E MAIN TO BRICE ROAD AND SCARBOROUGH BLVD,0,316571,39148
5526,1,472511,2A E MAIN TO HAMILTON ROAD,0,316553,39150
5526,1,472569,2J E MAIN TO WEYANT AVENUE,0,316572,39155
5526,1,472570,2A E MAIN TO HAMILTON ROAD,0,316587,39150
5526,1,472571,2R E MAIN TO REYNOLDSBURG,0,316554,39146
5526,1,472525,2J E MAIN TO WEYANT AVENUE,0,316564,39149
5526,1,472572,2T E MAIN TO BRICE ROAD AND SCARBOROUGH BLVD,0,316580,39139
5526,1,472573,2A E MAIN TO HAMILTON ROAD,0,316559,39150
5526,1,472574,2A E MAIN TO HAMILTON ROAD,0,316577,39150
5526,1,472575,2J E MAIN TO WEYANT AVENUE,0,316565,39149
5526,1,472576,2A E MAIN TO HAMILTON ROAD,0,316585,39142
5526,1,472577,2R E MAIN TO REYNOLDSBURG,0,316579,39146
5526,1,472578,2J E MAIN TO WEYANT AVENUE,0,316590,39149
5526,1,472579,2A E MAIN TO HAMILTON ROAD,0,316504,39150
5526,1,472580,2J E MAIN TO WEYANT AVENUE,0,316566,39155
5526,1,472581,2T E MAIN TO BRICE ROAD AND SCARBOROUGH BLVD,0,316558,39148
5526,1,472582,2A E MAIN TO HAMILTON ROAD,0,316568,39150
5526,1,472546,2J E MAIN TO WEYANT AVENUE,0,316560,39149
5526,1,472547,2A E MAIN TO HAMILTON ROAD,0,316557,39142
5526,1,472512,2R E MAIN TO REYNOLDSBURG,0,316552,39146
5526,1,472545,2A E MAIN TO HAMILTON ROAD,0,316574,39150
5526,1,472551,2A E MAIN TO HAMILTON ROAD,0,316589,39150
5526,1,472552,2J E MAIN TO WEYANT AVENUE,0,316556,39155
5526,1,472526,2T E MAIN TO BRICE ROAD AND SCARBOROUGH BLVD,0,316578,39148
5526,1,472553,2A E MAIN TO HAMILTON ROAD,0,316562,39150
5526,1,472554,2J E MAIN TO WEYANT AVENUE,0,316555,39149
5526,1,472555,2A E MAIN TO HAMILTON ROAD,0,316569,39142
5526,1,472556,2R E MAIN TO REYNOLDSBURG,0,316553,39146
5526,1,472557,2A E MAIN TO HAMILTON ROAD,0,316570,39150
5526,1,472568,2J E MAIN TO WEYANT AVENUE,0,316564,39149
5526,1,472544,2A E MAIN TO HAMILTON ROAD,0,316588,39150
5526,1,472513,2J E MAIN TO WEYANT AVENUE,0,316572,39155
5526,1,472549,2T E MAIN TO BRICE ROAD AND SCARBOROUGH BLVD,0,316571,39148
5526,1,472550,2A E MAIN TO HAMILTON ROAD,0,316559,39150
5526,1,472559,2A E MAIN TO HAMILTON ROAD,0,316577,39150
5526,1,472548,2J E MAIN TO WEYANT AVENUE,0,316563,39149
5526,1,472563,2A E MAIN TO HAMILTON ROAD,0,316587,39142
5526,1,472564,2R E MAIN TO REYNOLDSBURG,0,316554,39146
5526,1,472565,2A E MAIN TO HAMILTON ROAD,0,316590,39150
5526,1,472566,2A E MAIN TO HAMILTON ROAD,0,316585,39150
5526,1,472567,2T E MAIN TO BRICE ROAD AND SCARBOROUGH BLVD,0,316580,39148
5526,1,472527,2J E MAIN TO WEYANT AVENUE,0,316565,39155
5526,1,472583,2A E MAIN TO HAMILTON ROAD,0,316560,39150
5526,1,472584,2J E MAIN TO WEYANT AVENUE,0,316591,39149
5526,1,472585,2J E MAIN TO WEYANT AVENUE,0,316592,39149
5526,1,472586,2A E MAIN TO HAMILTON ROAD,0,316566,39142
5526,1,472587,2R E MAIN TO REYNOLDSBURG,0,316557,39146
5526,1,472488,2A E MAIN TO HAMILTON ROAD,0,316556,39150
5526,1,472489,2T E MAIN TO BRICE ROAD AND SCARBOROUGH BLVD,0,316558,39148
5526,1,472514,2F E MAIN TO FOUNTAIN LANE,0,316568,39145
5526,1,472515,2A E MAIN TO HAMILTON ROAD,0,316555,39150
5526,1,472516,2F E MAIN TO FOUNTAIN LANE,0,316573,39151
5526,1,472517,2R E MAIN TO REYNOLDSBURG,0,316552,39146
5526,1,472518,2A E MAIN TO HAMILTON ROAD,0,316574,39142
5526,1,472519,2F E MAIN TO FOUNTAIN LANE,0,316575,39151
5526,1,472520,2D NORTH HIGH TO DOWNTOWN,0,316572,39147
5526,1,472521,2T E MAIN TO BRICE ROAD AND SCARBOROUGH BLVD,0,316576,39148
5526,1,472494,2F E MAIN TO FOUNTAIN LANE,0,316562,39145
5526,1,472495,2F E MAIN TO FOUNTAIN LANE,0,316563,39151
5526,1,472558,2A E MAIN TO HAMILTON ROAD,0,316559,39150
5526,1,472560,2R E MAIN TO REYNOLDSBURG,0,316553,39146
5526,1,472561,2T E MAIN TO BRICE ROAD AND SCARBOROUGH BLVD,0,316570,39139
5526,1,472562,2F E MAIN TO FOUNTAIN LANE,0,316585,39151
5526,1,472490,2D NORTH HIGH TO DOWNTOWN,0,316560,39147
5526,1,472528,2F E MAIN TO FOUNTAIN LANE,0,316577,39145
5526,1,472491,2R E MAIN TO REYNOLDSBURG,0,316561,39146
5526,1,472588,2A E MAIN TO HAMILTON ROAD,0,316566,39150
5526,1,472480,2T E MAIN TO BRICE ROAD AND SCARBOROUGH BLVD,0,316554,39139
5526,1,472483,2D NORTH HIGH TO DOWNTOWN,0,316555,39147
5526,1,472484,2F E MAIN TO FOUNTAIN LANE,0,316556,39145
5526,1,472485,2F E MAIN TO FOUNTAIN LANE,0,316557,39151
